Designator,Mid X,Mid Y,Rotation,Layer
3V31,48.5,-20.13,180.0,top
3V3_EN1,51.04,-20.13,180.0,top
ADC_VREF1,53.58,-20.13,180.0,top
BOOT1,60.04,-27.84,180.0,top
C1,74.419,-37.95,180.0,top
C10,70.0275,-28.435,270.0,top
C11,69.62,-25.58,0.0,top
C12,71.227,-28.441,270.0,top
C13,77.447,-24.579,270.0,top
C14,78.3,-24.6,270.0,top
C15,52.53,-25.28,180.0,top
C16,66.925,-31.62,180.0,top
C17,87.98,-30.27,90.0,top
C18,88.0,-32.44,90.0,top
C19,65.2,-25.62,0.0,top
C2,77.645,-37.7615,270.0,top
C3,79.626,-37.914,270.0,top
C36,73.46,-25.78,0.0,top
C37,49.3,-32.92,270.0,top
C38,55.5,-32.78,270.0,top
C39,48.1,-32.6,270.0,top
C4,85.214,-34.358,0.0,top
C40,54.2,-32.72,270.0,top
C5,85.94,-29.84,0.0,top
C6,85.75,-32.28,0.0,top
C7,82.928,-25.81,0.0,top
C8,70.05,-34.94,0.0,top
C9,69.68,-31.74,0.0,top
D1,48.825,-25.1,180.0,top
D2,64.05,-27.93,0.0,top
D3,66.08,-27.62,270.0,top
GND1,68.82,-42.91,0.0,top
GND2,94.22,-42.91,0.0,top
GND3,94.22,-20.13,180.0,top
GND4_2,68.82,-20.13,180.0,top
GND4,56.12,-20.13,180.0,top
GND6,45.96,-20.13,180.0,top
GPI10,66.28,-42.91,0.0,top
GPIO0,40.88,-42.91,0.0,top
GPIO1_8,101.84,-20.13,180.0,top
GPIO1_7,43.42,-42.91,0.0,top
GPIO1_6,58.66,-20.13,180.0,top
GPIO1_5,104.38,-20.13,180.0,top
GPIO1_4,104.38,-42.91,0.0,top
GPIO1_3,78.98,-42.91,0.0,top
GPIO1_2,63.74,-42.91,0.0,top
GPIO1,56.12,-42.91,0.0,top
GPIO11,71.36,-42.91,0.0,top
GPIO12,73.9,-42.91,0.0,top
GPIO13,76.44,-42.91,0.0,top
GPIO15,81.52,-42.91,0.0,top
GPIO16,84.06,-42.91,0.0,top
GPIO17,86.6,-42.91,0.0,top
GPIO18,89.14,-42.91,0.0,top
GPIO19,91.68,-42.91,0.0,top
GPIO2,45.96,-42.91,0.0,top
GPIO21_2,96.76,-42.91,0.0,top
GPIO21,99.3,-42.91,0.0,top
GPIO22,101.84,-42.91,0.0,top
GPIO24,106.92,-42.91,0.0,top
GPIO25,109.46,-42.91,0.0,top
GPIO26,112.0,-42.91,0.0,top
GPIO27,114.54,-42.91,0.0,top
GPIO28,112.0,-20.13,180.0,top
GPIO29,109.46,-20.13,180.0,top
GPIO3,48.5,-42.91,0.0,top
GPIO30,106.92,-20.13,180.0,top
GPIO32,99.3,-20.13,180.0,top
GPIO34,96.76,-20.13,180.0,top
GPIO35,91.68,-20.13,180.0,top
GPIO36,89.14,-20.13,180.0,top
GPIO37,86.6,-20.13,180.0,top
GPIO38,84.06,-20.13,180.0,top
GPIO39,81.52,-20.13,180.0,top
GPIO4,51.04,-42.91,0.0,top
GPIO40,78.98,-20.13,180.0,top
GPIO41,76.44,-20.13,180.0,top
GPIO42,73.9,-20.13,180.0,top
GPIO43,71.36,-20.13,180.0,top
GPIO44,66.28,-20.13,180.0,top
GPIO45,63.74,-20.13,180.0,top
GPIO46,61.2,-20.13,180.0,top
GPIO5,53.58,-42.91,0.0,top
GPIO7,58.66,-42.91,0.0,top
GPIO8,61.2,-42.91,0.0,top
L1,68.0,-28.5,270.0,top
PWR_LED1,41.79,-37.2,180.0,top
R1,47.85,-29.43,180.0,top
R11,48.8,-34.8,0.0,top
R12,50.5,-35.6,0.0,top
R2,64.92,-29.46,180.0,top
R28,85.849,-30.929,180.0,top
R3,64.91,-30.4,180.0,top
R4,47.0,-33.4,90.0,top
R5,55.4,-25.3,180.0,top
R6,71.56,-25.6,180.0,top
R7,62.9,-25.7,180.0,top
R8,57.6,-25.0,90.0,top
RESET1,53.9,-27.77,0.0,top
RUN1,114.54,-20.13,180.0,top
U1,77.850396,-31.429109,180.0,top
U2,111.82,-31.48,90.0,top
U3,51.7,-33.4,0.0,top
U4,61.06,-33.2,180.0,top
USB1,43.558,-31.056,270.0,top
VBUS1,40.88,-20.13,180.0,top
VSYS1,43.42,-20.13,180.0,top
X1,90.73,-31.41,90.0,top
